Orthogroup	UP000070043	UP000070149	UP000070599	UP000185561	UP000186063	UP000186209	UP000186239	UP000186851	UP000228988	UP000245584	UP000265899	UP000266048	UP000266374	UP000274362	UP000279561	UP000315391	UP000315475	UP000315741	UP000315921	UP000317027	UP000317179	UP000317346	UP000317403	UP000317466	UP000317680	UP000318115	UP000318839	UP000318994	UP000319007	UP000319077	UP000319869	UP000319889	UP000320434	UP000320621	UP000320670	UP000320844	UP000320864	UP000321408	UP000322103	UP000322882	UP000323018	UP000324665	UP000538462	UP000556275	UP000610226	UP000619436	UP000621573	UP000625964	UP000634061	UP000645858	UP000678182	UP000696993	UP000700897	UP000706067	UP000721749	UP000723406	UP000729503	UP000738095	UP000751408	UP000760201	UP000771954	UP000775429	UP000777023	UP000825566	UP000825906	UP000826397	UP000826686	UP000826833
OG0011507					OLS21347.1																																																															
OG0011508					OLS21349.1																																																															
OG0011509					OLS21350.1																																																															
OG0011510					OLS21355.1																																																															
OG0011511					OLS21389.1																																																															
OG0011512					OLS21390.1																																																															
OG0011513					OLS21391.1																																																															
OG0011514					OLS21392.1																																																															
OG0011515					OLS21416.1																																																															
OG0011516					OLS21421.1																																																															
OG0011517					OLS21423.1																																																															
OG0011518					OLS21424.1																																																															
OG0011519					OLS21425.1																																																															
OG0011520					OLS21433.1																																																															
OG0011521					OLS21435.1																																																															
OG0011522					OLS21436.1																																																															
OG0011523					OLS21470.1																																																															
OG0011524					OLS21515.1																																																															
OG0011525					OLS21518.1																																																															
OG0011526					OLS21523.1																																																															
OG0011527					OLS21527.1																																																															
OG0011528					OLS21529.1																																																															
OG0011529					OLS21531.1																																																															
OG0011530					OLS21536.1																																																															
OG0011531					OLS21547.1																																																															
OG0011532					OLS21549.1																																																															
OG0011533					OLS21626.1																																																															
OG0011534					OLS21630.1																																																															
OG0011535					OLS21632.1																																																															
OG0011536					OLS21633.1																																																															
OG0011537					OLS21667.1																																																															
OG0011538					OLS21668.1																																																															
OG0011539					OLS21670.1																																																															
OG0011540					OLS21671.1																																																															
OG0011541					OLS21673.1																																																															
OG0011542					OLS21676.1																																																															
OG0011543					OLS21682.1																																																															
OG0011544					OLS21683.1																																																															
OG0011545					OLS21685.1																																																															
OG0011546					OLS21687.1																																																															
OG0011547					OLS21688.1																																																															
OG0011548					OLS21690.1																																																															
OG0011549					OLS21691.1																																																															
OG0011550					OLS21696.1																																																															
OG0011551					OLS21719.1																																																															
OG0011552					OLS21724.1																																																															
OG0011553					OLS21757.1																																																															
OG0011554					OLS21760.1																																																															
OG0011555					OLS21762.1																																																															
OG0011556					OLS21764.1																																																															
OG0011557					OLS21787.1																																																															
OG0011558					OLS21790.1																																																															
OG0011559					OLS21791.1																																																															
OG0011560					OLS21792.1																																																															
OG0011561					OLS21795.1																																																															
OG0011562					OLS21822.1																																																															
OG0011563					OLS21837.1																																																															
OG0011564					OLS21840.1																																																															
OG0011565					OLS21847.1																																																															
OG0011566					OLS21849.1																																																															
OG0011567					OLS21908.1																																																															
OG0011568					OLS21910.1																																																															
OG0011569					OLS21944.1																																																															
OG0011570					OLS21945.1																																																															
OG0011571					OLS21959.1																																																															
OG0011572					OLS21976.1																																																															
OG0011573					OLS22021.1																																																															
OG0011574					OLS22077.1																																																															
OG0011575					OLS22079.1																																																															
OG0011576					OLS22082.1																																																															
OG0011577					OLS22084.1																																																															
OG0011578					OLS22086.1																																																															
OG0011579					OLS22112.1																																																															
OG0011580					OLS22171.1																																																															
OG0011581					OLS22173.1																																																															
OG0011582					OLS22174.1																																																															
OG0011583					OLS22176.1																																																															
OG0011584					OLS22179.1																																																															
OG0011585					OLS22185.1																																																															
OG0011586					OLS22188.1																																																															
OG0011587					OLS22189.1																																																															
OG0011588					OLS22190.1																																																															
OG0011589					OLS22191.1																																																															
OG0011590					OLS22192.1																																																															
OG0011591					OLS22193.1																																																															
OG0011592					OLS22195.1																																																															
OG0011593					OLS22197.1																																																															
OG0011594					OLS22199.1																																																															
OG0011595					OLS22200.1																																																															
OG0011596					OLS22201.1																																																															
OG0011597					OLS22203.1																																																															
OG0011598					OLS22206.1																																																															
OG0011599					OLS22210.1																																																															
OG0011600					OLS22211.1																																																															
OG0011601					OLS22214.1																																																															
OG0011602					OLS22216.1																																																															
OG0011603					OLS22217.1																																																															
OG0011604					OLS22219.1																																																															
OG0011605					OLS22221.1																																																															
OG0011606					OLS22225.1																																																															
OG0011607					OLS22230.1																																																															
OG0011608					OLS22231.1																																																															
OG0011609					OLS22236.1																																																															
OG0011610					OLS22239.1																																																															
OG0011611					OLS22267.1																																																															
OG0011612					OLS22271.1																																																															
OG0011613					OLS22274.1																																																															
OG0011614					OLS22275.1																																																															
OG0011615					OLS22278.1																																																															
OG0011616					OLS22284.1																																																															
OG0011617					OLS22290.1																																																															
OG0011618					OLS22293.1																																																															
OG0011619					OLS22321.1																																																															
OG0011620					OLS22322.1																																																															
OG0011621					OLS22324.1																																																															
OG0011622					OLS22326.1																																																															
OG0011623					OLS22335.1																																																															
OG0011624					OLS22341.1																																																															
OG0011625					OLS22407.1																																																															
OG0011626					OLS22412.1																																																															
OG0011627					OLS22485.1																																																															
OG0011628					OLS22488.1																																																															
OG0011629					OLS22489.1																																																															
OG0011630					OLS22491.1																																																															
OG0011631					OLS22492.1																																																															
OG0011632					OLS22497.1																																																															
OG0011633					OLS22498.1																																																															
OG0011634					OLS22500.1																																																															
OG0011635					OLS22505.1																																																															
OG0011636					OLS22510.1																																																															
OG0011637					OLS22526.1																																																															
OG0011638					OLS22528.1																																																															
OG0011639					OLS22529.1																																																															
OG0011640					OLS22533.1																																																															
OG0011641					OLS22561.1																																																															
OG0011642					OLS22562.1																																																															
OG0011643					OLS22563.1																																																															
OG0011644					OLS22565.1																																																															
OG0011645					OLS22567.1																																																															
OG0011646					OLS22568.1																																																															
OG0011647					OLS22569.1																																																															
OG0011648					OLS22612.1																																																															
OG0011649					OLS22618.1																																																															
OG0011650					OLS22619.1																																																															
OG0011651					OLS22630.1																																																															
OG0011652					OLS22640.1																																																															
OG0011653					OLS22642.1																																																															
OG0011654					OLS22658.1																																																															
OG0011655					OLS22660.1																																																															
OG0011656					OLS22674.1																																																															
OG0011657					OLS22675.1																																																															
OG0011658					OLS22681.1																																																															
OG0011659					OLS22685.1																																																															
OG0011660					OLS22686.1																																																															
OG0011661					OLS22696.1																																																															
OG0011662					OLS22717.1																																																															
OG0011663					OLS22727.1																																																															
OG0011664					OLS22797.1																																																															
OG0011665					OLS22800.1																																																															
OG0011666					OLS22814.1																																																															
OG0011667					OLS22817.1																																																															
OG0011668					OLS22818.1																																																															
OG0011669					OLS22819.1																																																															
OG0011670					OLS22826.1																																																															
OG0011671					OLS22830.1																																																															
OG0011672					OLS22838.1																																																															
OG0011673					OLS22839.1																																																															
OG0011674					OLS22845.1																																																															
OG0011675					OLS22856.1																																																															
OG0011676					OLS22857.1																																																															
OG0011677					OLS22862.1																																																															
OG0011678					OLS22863.1																																																															
OG0011679					OLS22865.1																																																															
OG0011680					OLS22867.1																																																															
OG0011681					OLS22869.1																																																															
OG0011682					OLS22874.1																																																															
OG0011683					OLS22878.1																																																															
OG0011684					OLS22881.1																																																															
OG0011685					OLS22882.1																																																															
OG0011686					OLS22885.1																																																															
OG0011687					OLS22886.1																																																															
OG0011688					OLS22887.1																																																															
OG0011689					OLS22888.1																																																															
OG0011690					OLS22889.1																																																															
OG0011691					OLS22890.1																																																															
OG0011692					OLS22895.1																																																															
OG0011693					OLS22902.1																																																															
OG0011694					OLS22904.1																																																															
OG0011695					OLS22911.1																																																															
OG0011696					OLS22913.1																																																															
OG0011697					OLS22915.1																																																															
OG0011698					OLS22917.1																																																															
OG0011699					OLS22919.1																																																															
OG0011700					OLS22924.1																																																															
OG0011701					OLS22934.1																																																															
OG0011702					OLS22935.1																																																															
OG0011703					OLS22938.1																																																															
OG0011704					OLS22939.1																																																															
OG0011705					OLS22986.1																																																															
OG0011706					OLS22995.1																																																															
OG0011707					OLS22996.1																																																															
OG0011708					OLS23002.1																																																															
OG0011709					OLS23019.1																																																															
OG0011710					OLS23023.1																																																															
OG0011711					OLS23034.1																																																															
OG0011712					OLS23090.1																																																															
OG0011713					OLS23095.1																																																															
OG0011714					OLS23097.1																																																															
OG0011715					OLS23099.1																																																															
OG0011716					OLS23101.1																																																															
OG0011717					OLS23103.1																																																															
OG0011718					OLS23104.1																																																															
OG0011719					OLS23106.1																																																															
OG0011720					OLS23108.1																																																															
OG0011721					OLS23112.1																																																															
OG0011722					OLS23114.1																																																															
OG0011723					OLS23125.1																																																															
OG0011724					OLS23196.1																																																															
OG0011725					OLS23201.1																																																															
OG0011726					OLS23208.1																																																															
OG0011727					OLS23213.1																																																															
OG0011728					OLS23223.1																																																															
OG0011729					OLS23231.1																																																															
OG0011730					OLS23244.1																																																															
OG0011731					OLS23252.1																																																															
OG0011732					OLS23254.1																																																															
OG0011733					OLS23255.1																																																															
OG0011734					OLS23257.1																																																															
OG0011735					OLS23260.1																																																															
OG0011736					OLS23261.1																																																															
OG0011737					OLS23262.1																																																															
OG0011738					OLS23265.1																																																															
OG0011739					OLS23266.1																																																															
OG0011740					OLS23267.1																																																															
OG0011741					OLS23268.1																																																															
OG0011742					OLS23270.1																																																															
OG0011743					OLS23271.1																																																															
OG0011744					OLS23272.1																																																															
OG0011745					OLS23274.1																																																															
OG0011746					OLS23275.1																																																															
OG0011747					OLS23276.1																																																															
OG0011748					OLS23278.1																																																															
OG0011749					OLS23281.1																																																															
OG0011750					OLS23282.1																																																															
OG0011751					OLS23286.1																																																															
OG0011752					OLS23289.1																																																															
OG0011753					OLS23290.1																																																															
OG0011754					OLS23291.1																																																															
OG0011755					OLS23292.1																																																															
OG0011756					OLS23293.1																																																															
OG0011757					OLS23294.1																																																															
OG0011758					OLS23335.1																																																															
OG0011759					OLS23336.1																																																															
OG0011760					OLS23338.1																																																															
OG0011761					OLS23351.1																																																															
OG0011762					OLS23352.1																																																															
OG0011763					OLS23354.1																																																															
OG0011764					OLS23355.1																																																															
OG0011765					OLS23366.1																																																															
OG0011766					OLS23367.1																																																															
OG0011767					OLS23400.1																																																															
OG0011768					OLS23413.1																																																															
OG0011769					OLS23529.1																																																															
OG0011770					OLS23530.1																																																															
OG0011771					OLS23534.1																																																															
OG0011772					OLS23535.1																																																															
OG0011773					OLS23539.1																																																															
OG0011774					OLS23551.1																																																															
OG0011775					OLS23587.1																																																															
OG0011776					OLS23590.1																																																															
OG0011777					OLS23593.1																																																															
OG0011778					OLS23595.1																																																															
OG0011779					OLS23597.1																																																															
OG0011780					OLS23599.1																																																															
OG0011781					OLS23601.1																																																															
OG0011782					OLS23602.1																																																															
OG0011783					OLS23603.1																																																															
OG0011784					OLS23604.1																																																															
OG0011785					OLS23683.1																																																															
OG0011786					OLS23699.1																																																															
OG0011787					OLS23703.1																																																															
OG0011788					OLS23707.1																																																															
OG0011789					OLS23708.1																																																															
OG0011790					OLS23709.1																																																															
OG0011791					OLS23711.1																																																															
OG0011792					OLS23714.1																																																															
OG0011793					OLS23715.1																																																															
OG0011794					OLS23716.1																																																															
OG0011795					OLS23739.1																																																															
OG0011796					OLS23740.1																																																															
OG0011797					OLS23747.1																																																															
OG0011798					OLS23750.1																																																															
OG0011799					OLS23802.1																																																															
OG0011800					OLS23805.1																																																															
OG0011801					OLS23816.1																																																															
OG0011802					OLS23821.1																																																															
OG0011803					OLS23893.1																																																															
OG0011804					OLS23895.1																																																															
OG0011805					OLS23896.1																																																															
OG0011806					OLS23897.1																																																															
OG0011807					OLS23898.1																																																															
OG0011808					OLS23901.1																																																															
OG0011809					OLS23903.1																																																															
OG0011810					OLS23905.1																																																															
OG0011811					OLS23907.1																																																															
OG0011812					OLS23908.1																																																															
OG0011813					OLS23912.1																																																															
OG0011814					OLS23913.1																																																															
OG0011815					OLS23914.1																																																															
OG0011816					OLS23915.1																																																															
OG0011817					OLS23920.1																																																															
OG0011818					OLS23922.1																																																															
OG0011819					OLS23963.1																																																															
OG0011820					OLS23965.1																																																															
OG0011821					OLS23966.1																																																															
OG0011822					OLS23974.1																																																															
OG0011823					OLS23986.1																																																															
OG0011824					OLS23987.1																																																															
OG0011825					OLS23990.1																																																															
OG0011826					OLS23995.1																																																															
OG0011827					OLS23997.1																																																															
OG0011828					OLS24070.1																																																															
OG0011829					OLS24080.1																																																															
OG0011830					OLS24081.1																																																															
OG0011831					OLS24082.1																																																															
OG0011832					OLS24083.1																																																															
OG0011833					OLS24085.1																																																															
OG0011834					OLS24088.1																																																															
OG0011835					OLS24162.1																																																															
OG0011836					OLS24171.1																																																															
OG0011837					OLS24182.1																																																															
OG0011838					OLS24184.1																																																															
OG0011839					OLS24186.1																																																															
OG0011840					OLS24187.1																																																															
OG0011841					OLS24188.1																																																															
OG0011842					OLS24189.1																																																															
OG0011843					OLS24193.1																																																															
OG0011844					OLS24203.1																																																															
OG0011845					OLS24205.1																																																															
OG0011846					OLS24208.1																																																															
OG0011847					OLS24210.1																																																															
OG0011848					OLS24212.1																																																															
OG0011849					OLS24219.1																																																															
OG0011850					OLS24225.1																																																															
OG0011851					OLS24233.1																																																															
OG0011852					OLS24245.1																																																															
OG0011853					OLS24247.1																																																															
OG0011854					OLS24248.1																																																															
OG0011855					OLS24249.1																																																															
OG0011856					OLS24251.1																																																															
OG0011857					OLS24253.1																																																															
OG0011858					OLS24316.1																																																															
OG0011859					OLS24317.1																																																															
OG0011860					OLS24318.1																																																															
OG0011861					OLS24323.1																																																															
OG0011862					OLS24327.1																																																															
OG0011863					OLS24334.1																																																															
OG0011864					OLS24381.1																																																															
OG0011865					OLS24382.1																																																															
OG0011866					OLS24415.1																																																															
OG0011867					OLS24480.1																																																															
OG0011868					OLS24484.1																																																															
OG0011869					OLS24485.1																																																															
OG0011870					OLS24486.1																																																															
OG0011871					OLS24488.1																																																															
OG0011872					OLS24489.1																																																															
OG0011873					OLS24490.1																																																															
OG0011874					OLS24495.1																																																															
OG0011875					OLS24497.1																																																															
OG0011876					OLS24499.1																																																															
OG0011877					OLS24500.1																																																															
OG0011878					OLS24508.1																																																															
OG0011879					OLS24519.1																																																															
OG0011880					OLS24525.1																																																															
OG0011881					OLS24526.1																																																															
OG0011882					OLS24542.1																																																															
OG0011883					OLS24615.1																																																															
OG0011884					OLS24616.1																																																															
OG0011885					OLS24620.1																																																															
OG0011886					OLS24714.1																																																															
OG0011887					OLS24718.1																																																															
OG0011888					OLS24727.1																																																															
OG0011889					OLS24734.1																																																															
OG0011890					OLS24738.1																																																															
OG0011891					OLS24746.1																																																															
OG0011892					OLS24748.1																																																															
OG0011893					OLS24751.1																																																															
OG0011894					OLS24753.1																																																															
OG0011895					OLS24837.1																																																															
OG0011896					OLS24838.1																																																															
OG0011897					OLS24843.1																																																															
OG0011898					OLS24844.1																																																															
OG0011899					OLS24845.1																																																															
OG0011900					OLS24847.1																																																															
OG0011901					OLS24849.1																																																															
OG0011902					OLS24855.1																																																															
OG0011903					OLS24862.1																																																															
OG0011904					OLS24863.1																																																															
OG0011905					OLS24864.1																																																															
OG0011906					OLS24865.1																																																															
OG0011907					OLS24869.1																																																															
OG0011908					OLS24870.1																																																															
OG0011909					OLS24871.1																																																															
OG0011910					OLS24879.1																																																															
OG0011911					OLS24902.1																																																															
OG0011912					OLS24906.1																																																															
OG0011913					OLS24907.1																																																															
OG0011914					OLS24908.1																																																															
OG0011915					OLS24917.1																																																															
OG0011916					OLS24921.1																																																															
OG0011917					OLS24922.1																																																															
OG0011918					OLS24935.1																																																															
OG0011919					OLS24939.1																																																															
OG0011920					OLS25037.1																																																															
OG0011921					OLS25040.1																																																															
OG0011922					OLS25041.1																																																															
OG0011923					OLS25043.1																																																															
OG0011924					OLS25046.1																																																															
OG0011925					OLS25047.1																																																															
OG0011926					OLS25050.1																																																															
OG0011927					OLS25056.1																																																															
OG0011928					OLS25058.1																																																															
OG0011929					OLS25059.1																																																															
OG0011930					OLS25064.1																																																															
OG0011931					OLS25068.1																																																															
OG0011932					OLS25069.1																																																															
OG0011933					OLS25071.1																																																															
OG0011934					OLS25072.1																																																															
OG0011935					OLS25074.1																																																															
OG0011936					OLS25075.1																																																															
OG0011937					OLS25078.1																																																															
OG0011938					OLS25080.1																																																															
OG0011939					OLS25157.1																																																															
OG0011940					OLS25178.1																																																															
OG0011941					OLS25179.1																																																															
OG0011942					OLS25180.1																																																															
OG0011943					OLS25187.1																																																															
OG0011944					OLS25190.1																																																															
OG0011945					OLS25209.1																																																															
OG0011946					OLS25211.1																																																															
OG0011947					OLS25212.1																																																															
OG0011948					OLS25299.1																																																															
OG0011949					OLS25302.1																																																															
OG0011950					OLS25314.1																																																															
OG0011951					OLS25317.1																																																															
OG0011952					OLS25318.1																																																															
OG0011953					OLS25323.1																																																															
OG0011954					OLS25329.1																																																															
OG0011955					OLS25337.1																																																															
OG0011956					OLS25349.1																																																															
OG0011957					OLS25351.1																																																															
OG0011958					OLS25356.1																																																															
OG0011959					OLS25357.1																																																															
OG0011960					OLS25371.1																																																															
OG0011961					OLS25450.1																																																															
OG0011962					OLS25452.1																																																															
OG0011963					OLS25454.1																																																															
OG0011964					OLS25481.1																																																															
OG0011965					OLS25485.1																																																															
OG0011966					OLS25486.1																																																															
OG0011967					OLS25491.1																																																															
OG0011968					OLS25508.1																																																															
OG0011969					OLS25509.1																																																															
OG0011970					OLS25511.1																																																															
OG0011971					OLS25512.1																																																															
OG0011972					OLS25581.1																																																															
OG0011973					OLS25582.1																																																															
OG0011974					OLS25583.1																																																															
OG0011975					OLS25590.1																																																															
OG0011976					OLS25595.1																																																															
OG0011977					OLS25605.1																																																															
OG0011978					OLS25624.1																																																															
OG0011979					OLS25635.1																																																															
OG0011980					OLS25646.1																																																															
OG0011981					OLS25647.1																																																															
OG0011982					OLS25648.1																																																															
OG0011983					OLS25649.1																																																															
OG0011984					OLS25659.1																																																															
OG0011985					OLS25663.1																																																															
OG0011986					OLS25664.1																																																															
OG0011987					OLS25668.1																																																															
OG0011988					OLS25670.1																																																															
OG0011989					OLS25672.1																																																															
OG0011990					OLS25675.1																																																															
OG0011991					OLS25676.1																																																															
OG0011992					OLS25679.1																																																															
OG0011993					OLS25682.1																																																															
OG0011994					OLS25732.1																																																															
OG0011995					OLS25733.1																																																															
OG0011996					OLS25734.1																																																															
OG0011997					OLS25823.1																																																															
OG0011998					OLS25824.1																																																															
OG0011999					OLS25828.1																																																															
OG0012000					OLS25834.1																																																															
OG0012001					OLS25835.1																																																															
OG0012002					OLS25840.1																																																															
OG0012003					OLS25846.1																																																															
OG0012004					OLS25853.1																																																															
OG0012005					OLS25854.1																																																															
OG0012006					OLS25857.1																																																															
OG0012007					OLS25858.1																																																															
OG0012008					OLS25860.1																																																															
OG0012009					OLS25865.1																																																															
OG0012010					OLS25868.1																																																															
OG0012011					OLS25869.1																																																															
OG0012012					OLS25876.1																																																															
OG0012013					OLS25882.1																																																															
OG0012014					OLS25883.1																																																															
OG0012015					OLS25897.1																																																															
OG0012016					OLS25903.1																																																															
OG0012017					OLS25906.1																																																															
OG0012018					OLS25917.1																																																															
